model_key,model_name,depth_m,rmse,mae,bias,correlation
without_multimodal_branches,OceanEmbed w/o Multimodal Branches,700,0.2242,0.1771,-0.0548,0.1781
without_multimodal_branches,OceanEmbed w/o Multimodal Branches,1000,0.2189,0.1781,-0.0284,-0.0781
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),0,1.1446,0.8628,-0.5841,0.2049
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),5,1.213,0.8888,-0.4059,0.0538
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),10,1.0554,0.7761,-0.3991,0.2346
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),20,1.1633,0.853,-0.0823,0.0258
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),30,1.1529,0.876,0.3159,0.0546
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),50,1.4584,1.2244,0.9887,0.1761
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),75,1.1522,0.8618,0.1861,0.7212
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),100,1.2611,1.011,-0.3811,0.8202
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),125,1.0577,0.8129,-0.3322,0.8337
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),150,0.7958,0.6118,-0.1673,0.8245
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),200,0.5222,0.4127,0.0983,0.7517
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),300,0.512,0.4214,0.2599,0.4237
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),500,0.6764,0.5596,0.0554,0.3347
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),700,0.5541,0.4493,0.3234,-0.0097
direct_temperature_formulation,OceanEmbed Direct Temperature (w/o Residual),1000,0.4418,0.3445,0.0429,-0.017
